inventory_id,material_id,warehouse_location,current_stock,reorder_point,safety_stock,last_updated
INV-001,MAT-BAT-001,WH-MAIN-01,250,200,150,2024-02-20 10:30:00
INV-002,MAT-BAT-002,WH-MAIN-01,480,300,200,2024-02-20 10:30:00
INV-003,MAT-BAT-003,WH-MAIN-01,720,500,350,2024-02-20 10:30:00
INV-004,MAT-MOT-001,WH-MAIN-01,180,150,100,2024-02-20 10:30:00
INV-005,MAT-MOT-002,WH-MAIN-01,220,180,120,2024-02-20 10:30:00
INV-006,MAT-MOT-003,WH-MAIN-01,380,250,180,2024-02-20 10:30:00
INV-007,MAT-MOT-004,WH-MAIN-01,520,350,250,2024-02-20 10:30:00
INV-008,MAT-FRM-001,WH-MAIN-01,310,250,180,2024-02-20 10:30:00
INV-009,MAT-FRM-002,WH-MAIN-01,95,80,50,2024-02-20 10:30:00
INV-010,MAT-FRM-003,WH-MAIN-01,280,200,140,2024-02-20 10:30:00
INV-011,MAT-FRM-004,WH-MAIN-01,450,350,250,2024-02-20 10:30:00
INV-012,MAT-ELC-001,WH-MAIN-01,340,280,200,2024-02-20 10:30:00
INV-013,MAT-ELC-002,WH-MAIN-01,410,320,230,2024-02-20 10:30:00
INV-014,MAT-ELC-003,WH-MAIN-01,680,500,350,2024-02-20 10:30:00
INV-015,MAT-STD-001,WH-MAIN-01,290,240,170,2024-02-20 10:30:00
INV-016,MAT-STD-002,WH-MAIN-01,360,280,200,2024-02-20 10:30:00
INV-017,MAT-STD-003,WH-MAIN-01,320,260,180,2024-02-20 10:30:00
INV-018,MAT-STD-004,WH-MAIN-01,550,420,300,2024-02-20 10:30:00
