material_id,name,category,unit_of_measure,standard_cost,criticality_level,weight_kg
MAT-BAT-001,Lithium-ion Battery Pack 48V 20Ah,BATTERY_SYSTEM,EACH,450.00,CRITICAL,6.50
MAT-BAT-002,Battery Management System (BMS),BATTERY_SYSTEM,EACH,85.00,CRITICAL,0.35
MAT-BAT-003,Charging Port Assembly,BATTERY_SYSTEM,EACH,25.00,HIGH,0.15
MAT-MOT-001,Mid-Drive Motor 750W,DRIVE_SYSTEM,EACH,380.00,CRITICAL,4.20
MAT-MOT-002,Hub Motor 500W,DRIVE_SYSTEM,EACH,280.00,CRITICAL,3.80
MAT-MOT-003,Motor Controller 48V,DRIVE_SYSTEM,EACH,120.00,CRITICAL,0.60
MAT-MOT-004,Torque Sensor,DRIVE_SYSTEM,EACH,65.00,HIGH,0.25
MAT-FRM-001,Aluminum Frame 18 inch,FRAME_COMPONENT,EACH,180.00,CRITICAL,2.80
MAT-FRM-002,Carbon Fiber Frame 18 inch,FRAME_COMPONENT,EACH,420.00,HIGH,1.90
MAT-FRM-003,Suspension Fork,FRAME_COMPONENT,EACH,150.00,MEDIUM,1.50
MAT-FRM-004,Handlebar Assembly,FRAME_COMPONENT,EACH,45.00,MEDIUM,0.80
MAT-ELC-001,LCD Display 5 inch,ELECTRONICS,EACH,95.00,HIGH,0.30
MAT-ELC-002,Wiring Harness Complete,ELECTRONICS,EACH,55.00,HIGH,0.50
MAT-ELC-003,Speed Sensor,ELECTRONICS,EACH,18.00,MEDIUM,0.10
MAT-STD-001,Wheel Set 26 inch,STANDARD_PARTS,PAIR,120.00,HIGH,3.50
MAT-STD-002,Hydraulic Brake Set,STANDARD_PARTS,SET,85.00,HIGH,1.20
MAT-STD-003,Gear System 21-speed,STANDARD_PARTS,SET,95.00,MEDIUM,1.80
MAT-STD-004,Pedal Set,STANDARD_PARTS,PAIR,28.00,LOW,0.60
